"anio","semestre","puntaje_final","horas_estudio","asistencia","promedio_previo","horas_sueno","edad","estres","uso_redes","ingresos_familiares","genero","carrera","acceso_internet","trabaja","modalidad"
2021,"Sem1",141.587834507185,16.4944355766408,80.5091407740341,8.86417071586378,6.24970256489627,25,5.91636414609848,5.32694486207554,912.523301247337,"Female","Business","No","No","Virtual"
2021,"Sem1",103.770948940228,9.3667448052153,86.8503687481058,6.53309571211631,7.18306262533869,21,3.12791228756408,3.20011299711605,645.495094192142,"Male","Data","Yes","Si","Presencial"
2021,"Sem1",118.246638863047,8.51582452234155,88.0750408818059,5.97665374091412,6.68969277272053,18,4.59892466865889,4.5944271194865,1358.6786382251,"Female","Business","No","No","Presencial"
2021,"Sem1",148.043632667616,17.578135953489,72.7974055904328,9.12620283723216,6.82282575624297,21,3.64149059718465,0.78848452134977,1441.61237521246,"Male","Business","No","Si","Presencial"
2021,"Sem1",174.853494758364,13.5183426027476,80.7284123112429,6.49876156483135,6.41682967697093,21,1.78068972123992,2.50090410479644,1069.15763103538,"Female","Ingenieria","No","Si","Presencial"
2021,"Sem1",151.228789469558,19.0046900982853,80.6667298343017,9.8546908844799,6.013426950411,18,3.23150450110797,2.88688482650327,1783.74089962959,"Female","Ingenieria","Yes","Si","Presencial"
2021,"Sem1",149.007171128793,16.4468466220934,81.7221280326147,8.31417016911793,5.92346427693475,17,4.16399224585997,1.71969037856041,1360.82347537508,"Female","Data","Yes","Si","Presencial"
2021,"Sem1",143.444287884182,14.1201746068508,72.2052782955537,8.24721761359644,6.99975923510167,21,4.33714417423938,0.892830260505771,1813.32094470236,"Female","Business","No","No","Virtual"
2021,"Sem1",152.382891838309,25.7313965736982,80.4008119612,5.9262724763713,6.99691567126759,19,4.39610991143158,8.68810316573718,910.065756622342,"Female","Ingenieria","Yes","Si","Virtual"
2021,"Sem1",122.112062613285,12.8776284209267,81.2632404695674,7.89383222483135,7.11824901010579,22,4.93354483750409,4.46947815915434,884.867815765818,"Male","Ingenieria","No","Si","Presencial"
2021,"Sem1",119.696534528112,11.1240366197348,66.612651351942,7.18231863033474,6.00734211666935,19,2.3875670820926,2.95051057993136,767.589930662418,"Male","Business","No","No","Virtual"
2021,"Sem1",140.80214896467,13.5702064187742,77.5947991520054,7.68092281463006,6.67079842342485,15,3.09792859512609,4.3437996042567,1432.97542530177,"Male","Business","No","No","Presencial"
2021,"Sem1",131.426990931328,14.4471615190566,73.2935749362329,8.031837625307,6.99269354629184,19,5.73682824364784,3.59862160766175,1317.10510543965,"Male","Business","No","No","Virtual"
2021,"Sem1",143.607534321128,13.8118424097354,92.979998346551,7.92462328315894,6.67193742940219,24,4.54044618816293,3.63259487885979,1485.46376195077,"Female","Sin_dato","No","No","Virtual"
2021,"Sem1",142.815402320925,17.9282999493253,78.2439262443931,9.57921036335444,5.18429812601446,20,4.88722175704363,4.73785493763022,804.77422283932,"Male","Business","Yes","No","Presencial"
2021,"Sem1",139.233562717426,17.0391869130928,93.5731126796,8.93714914415274,6.3386683514056,18,5.00942910693464,3.07885511858037,1238.04992195717,"Male","Sin_dato","Yes","Si","Virtual"
2021,"Sem1",131.955631925171,12.5096387373887,91.9862082942349,7.36582655414495,7.08371162497621,23,4.10301025402911,2.6659334519412,386.12512809354,"Male","Data","Yes","Si","Presencial"
